Input	Input Type	MGI Gene/Marker ID	Chr	Strand	Start	End	Ensembl ID
1700037H04Rik	old symbol	MGI:1914576	2	-	130988244	131002001	ENSMUSG00000027327
1700052K11Rik	current symbol	MGI:1920681	11	-	105069846	105072259	ENSMUSG00000099681
1700123O20Rik	current symbol	MGI:1920893	14	+	54923673	54928198	ENSMUSG00000040822
1810013L24Rik	old symbol	MGI:1916303	16	+	8647964	8676786	ENSMUSG00000022507
1810026J23Rik	old symbol	MGI:1917023	9	+	21504018	21507266	ENSMUSG00000048429
1810030O07Rik	current symbol	MGI:1916405	X	-	12521118	12539907	ENSMUSG00000044148
1810043H04Rik	old symbol	MGI:1913676	11	+	119989760	119991250	ENSMUSG00000078572
1810055G02Rik	current symbol	MGI:1919306	19	+	3758343	3767882	ENSMUSG00000035372
1810058I24Rik	old symbol	MGI:1914955	6	+	35229645	35238574	ENSMUSG00000073155
2010012O05Rik	old symbol	MGI:1913689	19	+	46678345	46691821	ENSMUSG00000062376
2010107G23Rik	old symbol	MGI:1917144	10	-	61943435	61946829	ENSMUSG00000020083
2200002D01Rik	current symbol	MGI:1919525	7	-	28946946	28947892	ENSMUSG00000030587
2210013O21Rik	old symbol	MGI:1917373	X	+	152506550	152524292	ENSMUSG00000086316
2210016F16Rik	old symbol	MGI:1917403	13	-	58527860	58533039	ENSMUSG00000021550
2210016L21Rik	current symbol	MGI:1919607	5	+	115080213	115086610	ENSMUSG00000029559
2210018M11Rik	old symbol	MGI:1924203	7	-	98236344	98305990	ENSMUSG00000035401
2300009A05Rik	current symbol	MGI:1916728	9	-	63301729	63306526	ENSMUSG00000032403
2310003H01Rik	old symbol	MGI:1919135	11	-	120260388	120269572	ENSMUSG00000025384
2310009A05Rik	old symbol	MGI:1913614	9	+	72947000	72950061	ENSMUSG00000098332
2310009B15Rik	current symbol	MGI:1916799	1	-	138779721	138784590	ENSMUSG00000079283
2310011J03Rik	current symbol	MGI:1913624	10	-	80154088	80156371	ENSMUSG00000020133
2310022B05Rik	current symbol	MGI:1916801	8	-	125362495	125390108	ENSMUSG00000031983
2310033P09Rik	current symbol	MGI:1915112	11	+	59099187	59101562	ENSMUSG00000020441
2310039H08Rik	current symbol	MGI:1914351	17	+	47083561	47084322	ENSMUSG00000062619
2310047M10Rik	old symbol	MGI:1919173	11	+	68950601	68952402	ENSMUSG00000045176
2310057M21Rik	current symbol	MGI:1915527	7	-	130943340	130964570	ENSMUSG00000040177
2310061J03Rik	old symbol	MGI:1913641	16	-	55793631	55794980	ENSMUSG00000102101
2410002F23Rik	current symbol	MGI:1914226	7	+	43896146	43901743	ENSMUSG00000045411
2410004B18Rik	current symbol	MGI:1913671	3	+	145643769	145650584	ENSMUSG00000036873
2410004N09Rik	old symbol	MGI:1916999	18	+	33927945	33929042	ENSMUSG00000087590
2410016O06Rik	old symbol	MGI:1919202	12	+	83997382	83999725	ENSMUSG00000046791
2410131K14Rik	old symbol	MGI:1924042	5	+	118383292	118401179	ENSMUSG00000032840
2510003E04Rik	old symbol	MGI:1919570	10	-	62394249	62414846	ENSMUSG00000036955
2610001J05Rik	old symbol	MGI:1913770	6	-	13867734	13871517	ENSMUSG00000052419
2610008E11Rik	current symbol	MGI:1919378	10	-	78900208	78933434	ENSMUSG00000060301
2610034B18Rik	old symbol	MGI:1917670	7	-	79575107	79585012	ENSMUSG00000039043
2610035D17Rik	current symbol	MGI:1919636	11	-	112934732	113092664	ENSMUSG00000087259
2610203C20Rik	old symbol	MGI:1920394	9	+	41287822	41526481	ENSMUSG00000074415
2610306M01Rik	current symbol	MGI:1914420	6	-	86825389	86826422	ENSMUSG00000100164
2610318N02Rik	current symbol	MGI:1917708	16	-	16931262	16943031	ENSMUSG00000049916
2700029M09Rik	old symbol	MGI:1919862	8	+	61342533	61360615	ENSMUSG00000038005
2700081O15Rik	old symbol	MGI:1919667	19	+	7394990	7403269	ENSMUSG00000053080
2700097O09Rik	current symbol	MGI:1919908	12	-	55092446	55126895	ENSMUSG00000062198
2810002D19Rik	current symbol	MGI:1913707	2	+	94237052	94242027	ENSMUSG00000045464
2810004N23Rik	current symbol	MGI:1913773	8	-	125566094	125589768	ENSMUSG00000031984
2810006K23Rik	old symbol	MGI:1919900	5	+	124466152	124479907	ENSMUSG00000047635
2810403D21Rik	current symbol	MGI:1917214	X	+	107878084	107930502	ENSMUSG00000086629
2810408I11Rik	current symbol	MGI:1917191	1	-	64719028	64729818	ENSMUSG00000087213
2810408M09Rik	old symbol	MGI:1918294	2	-	165332032	165335244	ENSMUSG00000039725
2810410L24Rik	old symbol	MGI:1923627	11	-	120077476	120080682	ENSMUSG00000075389
2810417H13Rik	old symbol	MGI:1915276	9	+	65797519	65810548	ENSMUSG00000040204
2810428I15Rik	old symbol	MGI:1913712	8	-	70956945	70959402	ENSMUSG00000058833
2810474O19Rik	old symbol	MGI:1914496	6	+	149210912	149237161	ENSMUSG00000032712
2900026A02Rik	current symbol	MGI:1920194	5	-	113234189	113369102	ENSMUSG00000051339
3110002H16Rik	old symbol	MGI:1916528	18	+	12301774	12323715	ENSMUSG00000024410
3110040N11Rik	current symbol	MGI:1914540	7	-	81431930	81439226	ENSMUSG00000025102
3110043O21Rik	old symbol	MGI:1920455	4	-	35191285	35226153	ENSMUSG00000028300
3110045C21Rik	current symbol	MGI:1914553	1	+	169796978	169799965	ENSMUSG00000097503
3110062M04Rik	old symbol	MGI:1925662	6	-	34848706	34854995	ENSMUSG00000046806
3110070M22Rik	current symbol	MGI:1914554	13	-	119623793	119624920	ENSMUSG00000074635
3110082I17Rik	current symbol	MGI:1920462	5	-	139345494	139446282	ENSMUSG00000053553
3632451O06Rik	old symbol	MGI:1914669	14	-	49919017	50020843	ENSMUSG00000036242
3830406C13Rik	old symbol	MGI:1917937	14	-	10166532	10185590	ENSMUSG00000033111
4632428N05Rik	old symbol	MGI:1921298	10	+	60182630	60208463	ENSMUSG00000020101
4833439L19Rik	current symbol	MGI:1921162	13	-	54699031	54713195	ENSMUSG00000025871
4930427A07Rik	old symbol	MGI:2144738	12	+	113120041	113129668	ENSMUSG00000037466
4930430F08Rik	old symbol	MGI:1921197	10	-	100408136	100425252	ENSMUSG00000046567
4930452B06Rik	old symbol	MGI:1926154	14	+	13803533	14038581	ENSMUSG00000021747
4930453N24Rik	current symbol	MGI:1914859	16	-	64583267	64592735	ENSMUSG00000059920
4930486L24Rik	current symbol	MGI:1922258	13	-	60990426	61012230	ENSMUSG00000050345
4930523C07Rik	current symbol	MGI:1914897	1	+	159871950	159906157	ENSMUSG00000090394
4930579G24Rik	current symbol	MGI:1923189	3	+	79536386	79540127	ENSMUSG00000027811
4931406C07Rik	current symbol	MGI:1918234	9	-	15194633	15217744	ENSMUSG00000031938
4931414P19Rik	current symbol	MGI:1921609	14	-	54821120	54843450	ENSMUSG00000022179
4931440P22Rik	current symbol	MGI:1918254	3	-	65434904	65436835	ENSMUSG00000074580
4933404O12Rik	current symbol	MGI:1914002	5	+	136948000	136965963	ENSMUSG00000097908
4933426M11Rik	old symbol	MGI:2444661	12	+	80837306	80927607	ENSMUSG00000021133
5031426D15Rik	current symbol	MGI:1915394	2	-	6927513	6933533	
5330426P16Rik	old symbol	MGI:1915440	16	-	50547114	50553136	ENSMUSG00000022639
5430416N02Rik	current symbol	MGI:1918676	5	-	100568701	100577394	ENSMUSG00000097772
5430435G22Rik	old symbol	MGI:2442295	1	+	131616433	131643177	ENSMUSG00000052688
5530601H04Rik	current symbol	MGI:1918695	X	-	104084460	104113730	ENSMUSG00000087174
5730409E04Rik	current symbol	MGI:3609248	4	+	126503638	126508164	ENSMUSG00000073755
5730455P16Rik	current symbol	MGI:1917841	11	-	80251318	80268860	ENSMUSG00000057181
5830418K08Rik	old symbol	MGI:2442521	9	-	15228211	15269084	ENSMUSG00000046111
6030419C18Rik	old symbol	MGI:2442108	9	+	58395886	58407063	ENSMUSG00000066607
6530402F18Rik	current symbol	MGI:1923470	2	-	29135128	29143005	ENSMUSG00000079499
9030617O03Rik	old symbol	MGI:2444813	12	+	100745316	100838869	ENSMUSG00000021185
9030624J02Rik	old symbol	MGI:1918767	7	+	118339401	118440712	ENSMUSG00000030982
9130008F23Rik	current symbol	MGI:1918833	17	-	41186373	41191449	ENSMUSG00000054951
9130401M01Rik	current symbol	MGI:1923008	15	-	57885666	57897690	ENSMUSG00000101892
9230114K14Rik	current symbol	MGI:3041212	5	+	52348023	52355326	ENSMUSG00000097145
9330151L19Rik	current symbol	MGI:3041168	12	+	69243985	69246641	ENSMUSG00000097061
9430008C03Rik	old symbol	MGI:1915358	2	-	158195620	158203442	ENSMUSG00000085385
9430016H08Rik	old symbol	MGI:1915365	1	+	57445487	57457112	ENSMUSG00000025971
9430020K01Rik	old symbol	MGI:2685174	18	+	4634878	4682869	ENSMUSG00000033960
9430038I01Rik	current symbol	MGI:1924502	7	-	136977303	137012491	ENSMUSG00000040139
9530068E07Rik	current symbol	MGI:2654705	11	+	52287255	52299550	ENSMUSG00000036275
9630033F20Rik	old symbol	MGI:2442752	6	-	127062079	127086520	ENSMUSG00000038028
9930012K11Rik	current symbol	MGI:2145726	14	-	70391854	70396951	ENSMUSG00000044551
A230046K03Rik	old symbol	MGI:2441787	10	+	83379616	83432337	ENSMUSG00000034560
A230050P20Rik	old symbol	MGI:2441788	9	+	20779938	20785603	ENSMUSG00000038884
A330069E16Rik	current symbol	MGI:3583899	2	+	91067491	91068702	ENSMUSG00000120340
A430105I19Rik	old symbol	MGI:2685199	2	-	118584639	118593142	ENSMUSG00000045838
A630033H20Rik	old symbol	MGI:2441814	X	+	106192533	106217267	ENSMUSG00000054293
A730020M07Rik	current symbol	MGI:2442643	3	-	121428585	121437134	ENSMUSG00000044522
A830010M20Rik	old symbol	MGI:3646208	5	+	107585863	107659073	ENSMUSG00000111375
A830080D01Rik	old symbol	MGI:2685992	X	+	158315639	158376077	ENSMUSG00000044150
AB124611	current symbol	MGI:3043001	9	+	21437472	21456629	ENSMUSG00000057191
AB124611	Genbank	MGI:3043001	9	+	21437472	21456629	ENSMUSG00000057191
AI314180	old symbol	MGI:2140220	4	-	58798911	58912749	ENSMUSG00000050812
AI314180	Genbank	MGI:2140220	4	-	58798911	58912749	ENSMUSG00000050812
AI413582	old symbol	MGI:2146839	17	-	27782743	27784706	ENSMUSG00000062753
AI413582	Genbank	MGI:2146839	17	-	27782743	27784706	ENSMUSG00000062753
AI414108	old symbol	MGI:2685354	9	+	27210500	27268842	ENSMUSG00000034275
AI414108	Genbank	MGI:2685354	9	+	27210500	27268842	ENSMUSG00000034275
AI462493	old symbol	MGI:2147553	19	-	8857378	8858287	ENSMUSG00000071654
AI462493	Genbank	MGI:2147553	19	-	8857378	8858287	ENSMUSG00000071654
AI464131	old symbol	MGI:2140300	4	-	41495604	41503076	ENSMUSG00000046312
AI464131	Genbank	MGI:2140300	4	-	41495604	41503076	ENSMUSG00000046312
AI846148	old symbol	MGI:2147611	19	-	7331443	7360359	ENSMUSG00000024970
AI846148	Genbank	MGI:2147611	19	-	7331443	7360359	ENSMUSG00000024970
AU040320	current symbol	MGI:2140475	4	+	126647331	126763487	ENSMUSG00000028830
AU040320	Genbank	MGI:2140475	4	+	126647331	126763487	ENSMUSG00000028830
AW146154	current symbol	MGI:2142212	7	-	41128298	41149314	ENSMUSG00000074166
AW146154	Genbank	MGI:2142212	7	-	41128298	41149314	ENSMUSG00000074166
AW209491	current symbol	MGI:2145422	13	+	14804830	14812787	ENSMUSG00000039182
AW209491	Genbank	MGI:2145422	13	+	14804830	14812787	ENSMUSG00000039182
AW549877	old symbol	MGI:2146232	15	-	4011517	4025226	ENSMUSG00000041935
AW549877	Genbank	MGI:2146232	15	-	4011517	4025226	ENSMUSG00000041935
Aacs	current symbol	MGI:1926144	5	+	125552937	125594469	ENSMUSG00000029482
Aagab	current symbol	MGI:1914189	9	+	63509942	63551870	ENSMUSG00000037257
Aak1	current symbol	MGI:1098687	6	+	86826499	86980205	ENSMUSG00000057230
Aamp	current symbol	MGI:107809	1	-	74318999	74323897	ENSMUSG00000006299
Aars	old symbol	MGI:2384560	8	+	111759781	111784237	ENSMUSG00000031960
Aarsd1	current symbol	MGI:1916934	11	-	101297665	101308441	ENSMUSG00000075528
Aasdhppt	current symbol	MGI:1914868	9	-	4294793	4309471	ENSMUSG00000025894
Aatf	current symbol	MGI:1929608	11	-	84313681	84404348	ENSMUSG00000018697
Abca1	current symbol	MGI:99607	4	-	53030787	53159895	ENSMUSG00000015243
Abca2	current symbol	MGI:99606	2	+	25318715	25338552	ENSMUSG00000026944
Abca3	current symbol	MGI:1351617	17	+	24570997	24629178	ENSMUSG00000024130
Abca7	current symbol	MGI:1351646	10	+	79832328	79851406	ENSMUSG00000035722
Abcb8	current symbol	MGI:1351667	5	+	24598661	24615052	ENSMUSG00000028973
Abcc4	current symbol	MGI:2443111	14	-	118720104	118943631	ENSMUSG00000032849
Abcc5	current symbol	MGI:1351644	16	-	20150053	20245144	ENSMUSG00000022822
Abcd4	current symbol	MGI:1349217	12	-	84648634	84664259	ENSMUSG00000021240
Abce1	current symbol	MGI:1195458	8	-	80410091	80438369	ENSMUSG00000058355
Abcf2	current symbol	MGI:1351657	5	-	24770343	24782465	ENSMUSG00000028953
Abcf3	current symbol	MGI:1351656	16	+	20367327	20380129	ENSMUSG00000003234
Abhd11	current symbol	MGI:1916008	5	+	135038006	135041029	ENSMUSG00000040532
Abhd12	current symbol	MGI:1923442	2	-	150674413	150746661	ENSMUSG00000032046
Abhd4	current symbol	MGI:1915938	14	+	54491586	54506626	ENSMUSG00000040997
Abhd5	current symbol	MGI:1914719	9	+	122180681	122210589	ENSMUSG00000032540
Abhd6	current symbol	MGI:1913332	14	-	14413010	14466871	ENSMUSG00000025277
Abhd8	current symbol	MGI:1918946	8	-	71909349	71916299	ENSMUSG00000007950
Abi1	current symbol	MGI:104913	2	-	22830085	22930207	ENSMUSG00000058835
Ablim1	current symbol	MGI:1194500	19	-	57021165	57303351	ENSMUSG00000025085
Abr	current symbol	MGI:107771	11	-	76307560	76468515	ENSMUSG00000017631
Abtb1	current symbol	MGI:1933148	6	-	88812896	88818966	ENSMUSG00000030083
Abtb2	current symbol	MGI:2139365	2	+	103396655	103548768	ENSMUSG00000032724
Acaa1a	current symbol	MGI:2148491	9	+	119170094	119179361	ENSMUSG00000036138
Acaa2	current symbol	MGI:1098623	18	+	74912283	74939278	ENSMUSG00000036880
Acad11	current symbol	MGI:2143169	9	+	103940923	104004855	ENSMUSG00000090150
Acad8	current symbol	MGI:1914198	9	-	26885431	26910862	ENSMUSG00000031969
Acad9	current symbol	MGI:1914272	3	+	36120128	36147002	ENSMUSG00000027710
Acadl	current symbol	MGI:87866	1	-	66869998	66902436	ENSMUSG00000026003
Acads	current symbol	MGI:87868	5	-	115248358	115257405	ENSMUSG00000029545
Acadsb	current symbol	MGI:1914135	7	+	131012330	131047940	ENSMUSG00000030861
Acap2	current symbol	MGI:1925868	16	-	30911230	31020063	ENSMUSG00000049076
Acap3	current symbol	MGI:2153589	4	+	155976332	155991708	ENSMUSG00000029033
Acat1	current symbol	MGI:87870	9	-	53491822	53521650	ENSMUSG00000032047
Acat1	human synonym	MGI:104665	1	-	156255678	156301898	ENSMUSG00000026600
Acat2	current symbol	MGI:87871	17	-	13161929	13179612	ENSMUSG00000023832
Acat2	human symbol	MGI:109182	17	-	13142720	13159482	ENSMUSG00000062480
Acat2	synonym	MGI:1332226	15	+	102058961	102071904	ENSMUSG00000023045
Acbd3	current symbol	MGI:2181074	1	+	180553608	180581769	ENSMUSG00000026499
Acbd6	current symbol	MGI:1919732	1	+	155433845	155564120	ENSMUSG00000033701
Acd	current symbol	MGI:87873	8	-	106424789	106427748	ENSMUSG00000038000
Acer3	current symbol	MGI:1913440	7	-	97863015	97970415	ENSMUSG00000030760
Acin1	current symbol	MGI:1891824	14	-	54879618	54924388	ENSMUSG00000022185
Acly	current symbol	MGI:103251	11	-	100367179	100418826	ENSMUSG00000020917
Aco2	current symbol	MGI:87880	15	+	81756664	81799338	ENSMUSG00000022477
Acot11	current symbol	MGI:1913736	4	-	106601752	106662195	ENSMUSG00000034853
Acot13	current symbol	MGI:1914084	13	-	25001938	25015472	ENSMUSG00000006717
Acot7	current symbol	MGI:1917275	4	+	152262591	152356312	ENSMUSG00000028937
Acot8	current symbol	MGI:2158201	2	-	164634685	164646802	ENSMUSG00000017307
Acot9	current symbol	MGI:1928939	X	+	154045439	154080650	ENSMUSG00000025287
Acot9	human symbol	MGI:1928940	15	-	20665300	20666836	ENSMUSG00000047565
Acox1	current symbol	MGI:1330812	11	-	116062714	116089605	ENSMUSG00000020777
Acp1	current symbol	MGI:87881	12	-	30943325	30961588	ENSMUSG00000044573
Acp1	human synonym	MGI:1917566	7	-	121686038	121701071	ENSMUSG00000030869
Acp1	human synonym	MGI:4936891	7	+	80157535	80158002	ENSMUSG00000091989
Acp2	current symbol	MGI:87882	2	+	91033230	91044443	ENSMUSG00000002103
Acp6	current symbol	MGI:1931010	3	+	97066070	97083892	ENSMUSG00000028093
Acsbg1	current symbol	MGI:2385656	9	-	54512161	54569154	ENSMUSG00000032281
Acsl1	current symbol	MGI:102797	8	+	46924074	46989088	ENSMUSG00000018796
Acsl4	current symbol	MGI:1354713	X	-	141100989	141173531	ENSMUSG00000031278
Acsl5	current symbol	MGI:1919129	19	+	55240298	55285060	ENSMUSG00000024981
Acss2	current symbol	MGI:1890410	2	+	155359963	155404663	ENSMUSG00000027605
Acta1	current symbol	MGI:87902	8	-	124618508	124621490	ENSMUSG00000031972
Acta2	current symbol	MGI:87909	19	-	34218490	34232990	ENSMUSG00000035783
Actg2	current symbol	MGI:104589	6	-	83489891	83513233	ENSMUSG00000059430
Actl6a	current symbol	MGI:1861453	3	+	32762695	32781122	ENSMUSG00000027671
Actn1	current symbol	MGI:2137706	12	-	80214321	80307145	ENSMUSG00000015143
Actn4	current symbol	MGI:1890773	7	-	28592673	28661765	ENSMUSG00000054808
Actr10	current symbol	MGI:1891654	12	+	70984631	71011492	ENSMUSG00000021076
Actr1a	current symbol	MGI:1858964	19	-	46365252	46384180	ENSMUSG00000025228
Actr1b	current symbol	MGI:1917446	1	-	36737195	36749051	ENSMUSG00000037351
Actr3	current symbol	MGI:1921367	1	-	125320642	125363464	ENSMUSG00000026341
Actr5	current symbol	MGI:1924748	2	+	158466808	158481131	ENSMUSG00000037761
Actr6	current symbol	MGI:1914269	10	-	89547833	89568157	ENSMUSG00000019948
Actr8	current symbol	MGI:1860775	14	+	29700294	29717409	ENSMUSG00000015971
Acvr1	current symbol	MGI:87911	2	-	58336450	58456840	ENSMUSG00000026836
Acvr2a	current symbol	MGI:102806	2	+	48704121	48793276	ENSMUSG00000052155
Acvrl1	current symbol	MGI:1338946	15	+	101026403	101043217	ENSMUSG00000000530
Acyp1	current symbol	MGI:1913454	12	-	85319172	85335212	ENSMUSG00000008822
Acyp2	zebrafish symbol	MGI:1913454	12	-	85319172	85335212	ENSMUSG00000008822
Acyp2	current symbol	MGI:1922822	11	-	30455991	30599587	ENSMUSG00000060923
Adam10	current symbol	MGI:109548	9	+	70586279	70687511	ENSMUSG00000054693
Adam15	current symbol	MGI:1333882	3	-	89246947	89257589	ENSMUSG00000028041
Adam23	current symbol	MGI:1345162	1	+	63484880	63635263	ENSMUSG00000025964
Adam8	current symbol	MGI:107825	7	-	139558845	139572475	ENSMUSG00000025473
Adam9	current symbol	MGI:105376	8	-	25439627	25506943	ENSMUSG00000031555
Adamts1	current symbol	MGI:109249	16	-	85590715	85600001	ENSMUSG00000022893
Adamts10	current symbol	MGI:2449112	17	+	33743178	33772756	ENSMUSG00000024299
Adamts2	current symbol	MGI:1347356	11	+	50492912	50698400	ENSMUSG00000036545
Adamtsl1	current symbol	MGI:1924989	4	+	85432409	86346622	ENSMUSG00000066113
Adamtsl3	current symbol	MGI:3028499	7	+	81984902	82263658	ENSMUSG00000070469
Adamtsl5	current symbol	MGI:1913798	10	-	80175655	80184246	ENSMUSG00000043822
Adar	current symbol	MGI:1889575	3	+	89622329	89660753	ENSMUSG00000027951
Adarb1	current symbol	MGI:891999	10	-	77126560	77254104	ENSMUSG00000020262
Adat2	current symbol	MGI:1914007	10	+	13428651	13439120	ENSMUSG00000019808
Adck3	old symbol	MGI:1914676	1	-	179992803	180023585	ENSMUSG00000026489
Adck5	current symbol	MGI:2679274	15	+	76460559	76480012	ENSMUSG00000022550
Adcy3	current symbol	MGI:99675	12	+	4183397	4263525	ENSMUSG00000020654
Adcy3	human synonym	MGI:1341110	15	-	64570884	64794145	ENSMUSG00000022376
Adcy4	current symbol	MGI:99674	14	-	56006514	56021552	ENSMUSG00000022220
Adcy5	current symbol	MGI:99673	16	+	34975247	35126108	ENSMUSG00000022840
Adcy6	current symbol	MGI:87917	15	-	98487854	98507957	ENSMUSG00000022994
Adh1	current symbol	MGI:87921	3	+	137983346	137996459	ENSMUSG00000074207
Adh5	current symbol	MGI:87929	3	+	138148854	138161260	ENSMUSG00000028138
Adh7	current symbol	MGI:87926	3	+	137923521	137939143	ENSMUSG00000055301
Adipor2	current symbol	MGI:93830	6	-	119330111	119394489	ENSMUSG00000030168
Adk	current symbol	MGI:87930	14	+	21102642	21498637	ENSMUSG00000039197
Adnp	current symbol	MGI:1338758	2	-	168022906	168049032	ENSMUSG00000051149
Adnp2	current symbol	MGI:2448562	18	-	80169526	80194697	ENSMUSG00000053950
Adpgk	current symbol	MGI:1919391	9	+	59198855	59223483	ENSMUSG00000025236
Adprhl2	old symbol	MGI:2140364	4	-	126210144	126215496	ENSMUSG00000042558
Adra1b	current symbol	MGI:104774	11	-	43665433	43792037	ENSMUSG00000050541
Adra1d	current symbol	MGI:106673	2	-	131387770	131404203	ENSMUSG00000027335
Adra2a	current symbol	MGI:87934	19	+	54033690	54037413	ENSMUSG00000033717
Adrb2	current symbol	MGI:87938	18	-	62310887	62313030	ENSMUSG00000045730
Adrbk1	old symbol	MGI:87940	19	-	4336029	4356250	ENSMUSG00000024858
Adsl	current symbol	MGI:103202	15	+	80832691	80855147	ENSMUSG00000022407
Aebp1	current symbol	MGI:1197012	11	+	5811947	5822088	ENSMUSG00000020473
Aebp2	current symbol	MGI:1338038	6	+	140568389	140624198	ENSMUSG00000030232
Aen	current symbol	MGI:1915298	7	+	78545675	78560957	ENSMUSG00000030609
Aes	old symbol	MGI:95806	10	+	81395322	81402196	ENSMUSG00000054452
Aff1	current symbol	MGI:1100819	5	+	103840307	104003188	ENSMUSG00000029313
Aff4	current symbol	MGI:2136171	11	+	53241660	53312657	ENSMUSG00000049470
Afmid	current symbol	MGI:2448704	11	+	117716750	117730734	ENSMUSG00000017718
Aga	current symbol	MGI:104873	8	+	53964762	53976456	ENSMUSG00000031521
Agap3	current symbol	MGI:2183446	5	+	24657175	24707045	ENSMUSG00000023353
Aggf1	current symbol	MGI:1913799	13	-	95487191	95511860	ENSMUSG00000021681
Agmo	current symbol	MGI:2442495	12	+	37291640	37632201	ENSMUSG00000050103
Agpat2	zebrafish symbol	MGI:1932075	17	+	34823236	34832423	ENSMUSG00000034254
Agpat2	current symbol	MGI:1914762	2	-	26483069	26494429	ENSMUSG00000026922
Agpat4	current symbol	MGI:1915512	17	+	12337591	12438532	ENSMUSG00000023827
Agpat5	current symbol	MGI:1196345	8	+	18896295	18934429	ENSMUSG00000031467
Agps	current symbol	MGI:2443065	2	+	75662521	75761694	ENSMUSG00000042410
Agrn	current symbol	MGI:87961	4	-	156249747	156281945	ENSMUSG00000041936
Agtpbp1	current symbol	MGI:2159437	13	-	59597348	59705184	ENSMUSG00000021557
Agtr1a	current symbol	MGI:87964	13	+	30520424	30566850	ENSMUSG00000049115
Agtr1a	zebrafish symbol	MGI:87965	3	-	20368637	20421341	ENSMUSG00000054988
Agtrap	current symbol	MGI:1339977	4	-	148161518	148172488	ENSMUSG00000029007
Ahctf1	current symbol	MGI:1915033	1	-	179572459	179631245	ENSMUSG00000026491
Ahcyl1	current symbol	MGI:2385184	3	-	107570436	107603876	ENSMUSG00000027893
Ahdc1	current symbol	MGI:2444218	4	+	132738797	132805421	ENSMUSG00000037692
Ahi1	current symbol	MGI:87971	10	+	20828446	20956328	ENSMUSG00000019986
Ahnak	current symbol	MGI:1316648	19	+	8966648	9054278	ENSMUSG00000069833
Ahr	current symbol	MGI:105043	12	-	35547978	35584988	ENSMUSG00000019256
Ahrr	current symbol	MGI:1333776	13	-	74359237	74440450	ENSMUSG00000021575
Ahrr	human synonym	MGI:88588	9	+	57595211	57611107	ENSMUSG00000032315
Ahsa2	current symbol	MGI:1916133	11	-	23437882	23448030	ENSMUSG00000020288
